,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22,101,214,269,331,360,360,407,396,473,523,534,571,633,675,757
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Defense,2,2,2,2,2,2,2,5,9,11,13,17,21,25,26,26,29,32,32,35,37,42,53,73,68,68,82,99,111,129,152,131,168,172,194,203,207,233,275,322,381,532,856,"1,179","1,585","2,033","2,361","2,603","2,618","2,913","3,487","3,464","3,202","3,215"
         Department of Veterans Affairs,10,10,11,11,12,12,12,12,12,16,19,21,23,26,32,37,41,38,46,47,50,52,55,60,64,61,53,47,45,46,44,53,60,76,80,75,72,68,69,73,80,89,114,158,203,215,184,128,66,82,36,32,31,33
     Other Third Party Payers and Programs,12,17,23,25,43,74,52,31,34,34,15,19,20,20,21,32,67,68,79,83,84,94,110,99,100,102,97,97,109,112,135,144,158,188,201,200,209,196,207,229,249,284,297,305,314,313,327,337,325,373,660,"1,028","1,653","2,971"
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,8,9,11,12,13,14,14,14,15,16,14,15,16,21,26,32,35,37,38,37,42,44,47,54,60,65,67,68,68,68,68,68,68,77,93,97,106,107
         Workers' Compensation, -   , -   ,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,5,8,10,9,7,9,11,12,13,14,15,17,17,17,17,18,18,18,21,25,26,30,36,38,41,48,53,59,79,92,100,104
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,1,1,1,1,1,1,2,2,2,3,3,4,5,5,4,4,5,5,6,6,6,6,5,4,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
                          Federal  ,1,1,1,1,1,1,2,2,2,3,3,4,5,5,4,4,5,5,6,6,6,6,5,4,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,1,1,1,1,1,1,2,3,5,6,7,8,8,10,12,14,14,14,14,15,17,18,18,18,19,20,21,23,24,24,26,27,28,29,27,26,27,31,32,33,36,37,39,39,40,38,40,41,40,44,48,48,46,46
                          Federal  ,1,1,1,1,1,1,2,3,5,6,7,8,8,10,12,14,14,14,14,15,17,18,18,18,19,20,21,23,24,24,26,27,28,29,27,26,27,31,32,33,36,37,39,39,40,38,40,41,40,44,48,48,46,46
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*,10,14,20,22,40,70,47,25,26,24,4,6,6,4,3, -   ,30,30,35,37,34,43,60,48,49,50,49,43,39,40,45,43,49,59,59,65,84,69,67,73,79,86,97,107,106,107,115,114,98,125,371,718,"1,312","2,626"
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,8,7,9,8,10,9,8,7,4,4,4,5,15,12,22,25,27,43,56,51,35,31,39,46,50,68,65,57,60,58,59,62,62,65,64,70,85,85
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,146,255,366,409,527,568,655,778,956,"1,077","1,361","1,322","1,690","1,810","1,948","2,270","2,298","2,452","2,717","3,193","3,239","3,315","3,839","4,298","4,600","5,065","5,319","5,682","6,259","6,575","6,735","7,565","8,227","9,217","10,791","11,346","12,613","13,418","14,511","15,214","15,359","16,373","17,004","17,435","17,751","19,275","19,916","20,975"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cost of Health Insurance Expenditures,"1,013","1,093","1,205","1,243","1,367","1,598","1,723","1,711","2,022","1,779","1,885","2,422","3,389","3,715","3,197","3,418","4,891","7,492","8,869","9,532","9,263","10,922","13,080","14,904","19,589","20,695","17,711","15,911","20,908","27,561","31,601","31,749","34,355","43,133","45,100","46,069","49,084","48,811","49,695","56,084","64,170","70,946","89,869","107,270","114,566","122,474","136,718","142,607","140,651","137,801","152,288","159,951","165,348","173,615"
     Out of pocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Insurance,847,924,"1,011","1,042","1,143","1,345","1,433","1,382","1,630","1,353","1,435","2,011","2,959","3,185","2,627","2,842","4,306","6,752","7,910","8,194","7,684","9,244","11,296","13,333","18,434","19,401","16,450","14,134","18,969","26,032","29,873","30,382","32,351","39,698","40,716","41,464","44,397","44,557","46,161","52,301","59,526","65,523","82,749","98,068","104,602","110,947","123,967","130,216","129,850","129,775","144,615","150,898","155,241","161,701"
          Private Health Insurance,847,924,"1,011","1,042","1,143","1,345","1,432","1,379","1,626","1,347","1,427","2,002","2,950","3,174","2,614","2,826","4,289","6,734","7,891","8,174","7,664","9,218","11,257","13,258","18,300","19,191","16,176","13,782","18,523","25,459","29,140","29,522","31,256","38,066","38,645","38,803","41,123","39,898","40,685","46,196","52,560","57,269","73,346","88,561","93,609","96,749","101,190","104,628","101,874","97,021","106,770","111,162","112,742","115,749"
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,11,26,59,122,194,271,323,386,460,531,627,929,"1,182","1,512","1,898","2,943","3,430","3,467","3,820","4,053","3,731","3,485","4,738","6,990","14,720","17,363","18,086","21,577","23,419","24,531","25,855","26,633"
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ,1,3,4,6,8,9,9,10,13,15,17,18,19,20,19,22,28,49,75,88,81,81,122,187,273,329,467,703,889,"1,149","1,376","1,715","2,026","2,547","2,968","3,905","5,222","5,546","5,768","6,686","7,457","7,597","9,121","10,367","13,432","14,177","15,631","18,231"
                          Federal  , -   , -   , -   , -   , -   , -   ,1,2,2,3,4,5,5,6,7,9,10,10,11,11,9,10,13,24,37,42,38,36,55,85,132,185,264,400,508,652,767,966,"1,165","1,460","1,697","2,245","2,979","3,290","3,354","3,798","4,234","4,339","5,448","7,036","9,241","8,718","8,998","10,470"
                          State and Local, -   , -   , -   , -   , -   , -   , -   ,1,2,2,3,4,4,4,5,6,7,8,8,9,11,12,15,25,38,46,43,45,68,102,140,144,204,303,380,498,609,749,861,"1,087","1,271","1,660","2,243","2,256","2,414","2,888","3,222","3,257","3,673","3,331","4,191","5,460","6,633","7,761"
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20,91,178,296,450,476,488,522,600,628,769,811,995,"1,028","1,013","1,089"
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,62,121,203,310,329,339,362,412,434,533,563,686,711,698,748
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,30,57,92,140,146,149,160,188,194,236,248,309,317,315,341
         Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Department of Veterans Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Other Third Party Payers and Programs,167,170,194,200,225,253,291,329,392,426,450,411,430,530,570,576,585,741,960,"1,338","1,579","1,678","1,785","1,571","1,156","1,294","1,261","1,777","1,939","1,529","1,727","1,367","2,005","3,435","4,384","4,605","4,687","4,254","3,534","3,783","4,644","5,423","7,120","9,202","9,964","11,528","12,751","12,391","10,801","8,026","7,673","9,053","10,107","11,914"
         Worksite Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Private Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Indian Health Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Workers' Compensation,167,170,194,200,225,253,291,329,392,426,450,411,430,530,570,576,585,741,960,"1,338","1,579","1,678","1,785","1,571","1,156","1,294","1,261","1,777","1,939","1,529","1,727","1,367","2,005","3,435","4,384","4,605","4,687","4,254","3,534","3,783","4,644","5,423","7,120","9,202","9,964","11,528","12,751","12,391","10,801","8,026","7,671","9,044","10,067","11,844"
         General Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Maternal/Child Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Vocational Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          Federal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                          State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,9,40,70
         SAMHSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Other State and Local Programs**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         School Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ,1,3,4,6,8,9,9,10,13,15,17,18,19,20,19,26,39,75,134,210,275,352,445,573,733,860,"1,094","1,632","2,071","2,661","3,274","4,658","5,476","6,105","6,966","8,254","9,403","9,507","10,994","14,198","22,777","25,588","27,976","32,755","37,846","39,736","42,499","45,953"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Health Activity,371,409,456,509,572,621,733,861,969,"1,174","1,356","1,676","1,855","2,123","2,584","2,967","3,213","3,815","4,588","5,375","6,445","7,531","8,621","9,251","9,842","11,212","12,387","13,572","15,267","17,775","19,996","22,127","24,371","26,776","29,591","30,993","32,373","34,827","37,455","40,729","43,047","46,789","52,047","54,236","54,963","57,232","60,855","65,907","71,516","74,048","75,480","73,480","74,821","75,388"
  Federal Funds,102,108,140,208,226,214,294,401,470,564,594,791,893,854,969,"1,043","1,110","1,152","1,154","1,108","1,235","1,216","1,141","1,232","1,298","1,326","1,340","1,529","1,795","2,030","2,262","2,605","2,912","3,164","3,626","3,655","3,755","3,926","4,063","4,544","4,876","5,775","8,013","8,892","8,957","9,125","9,482","9,650","9,832","11,937","14,107","10,694","10,868","10,517"
  State/Local Funds,269,302,316,301,347,407,439,460,499,610,762,885,962,"1,269","1,615","1,924","2,104","2,663","3,434","4,267","5,210","6,316","7,480","8,019","8,544","9,886","11,047","12,043","13,472","15,745","17,734","19,522","21,459","23,613","25,964","27,338","28,618","30,901","33,392","36,185","38,170","41,013","44,035","45,344","46,006","48,107","51,373","56,257","61,683","62,111","61,373","62,786","63,953","64,871"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,694,886,"1,068","1,219","1,366","1,521","1,624","1,775","1,877","1,924","1,953","2,109","2,357","2,502","2,767","3,372","3,707","3,864","4,438","4,805","5,429","5,705","6,025","6,543","7,608","8,320","9,002","10,025","10,836","11,738","12,678","13,819","15,091","16,472","17,758","18,670","17,808","19,640","21,506","23,369","25,465","28,510","32,016","34,863","38,508","40,322","41,462","42,461","44,040","45,158","48,708","49,309","47,995","46,734"
     Private ,139,147,153,162,170,176,186,198,208,213,215,233,227,232,252,264,267,220,236,254,292,312,390,456,507,539,782,800,839,882,961,"1,091","1,208","1,298","1,432","1,563","1,676","1,870","2,040","2,149","2,420","2,464","2,550","2,738","2,991","3,347","3,556","3,782","4,005","4,053","4,182","4,396","4,545","4,756"
     Federal Gov't,504,680,849,983,"1,112","1,251","1,335","1,466","1,539","1,555","1,556","1,662","1,893","2,022","2,245","2,809","3,119","3,267","3,760","4,082","4,616","4,790","4,955","5,331","6,269","6,830","7,114","7,989","8,618","9,314","9,981","10,854","11,902","13,125","14,149","14,733","13,554","15,037","16,616","18,124","19,695","22,437","25,569","27,905","31,001","32,389","33,098","33,431","34,264","35,186","38,607","38,966","37,357","35,670"
     State and Local Gov't,51,58,66,74,84,94,103,111,130,156,183,213,237,248,270,298,321,377,442,469,520,602,680,756,832,951,"1,107","1,236","1,379","1,542","1,737","1,874","1,981","2,049","2,177","2,374","2,578","2,733","2,850","3,096","3,350","3,608","3,897","4,221","4,516","4,586","4,808","5,249","5,772","5,920","5,918","5,947","6,093","6,308"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Structures and Equipment,"1,872","1,977","2,425","2,582","3,042","3,244","3,397","3,495","4,107","5,181","5,830","6,765","7,408","7,741","8,466","9,053","9,945","10,105","10,974","12,204","14,674","17,383","20,384","22,718","23,389","22,921","23,504","25,967","29,332","32,238","36,008","38,228","41,806","44,708","46,168","47,192","49,932","52,591","58,042","62,318","62,527","63,423","70,216","75,323","79,041","85,530","90,086","102,658","111,223","101,148","100,970","108,023","115,705","117,860"
     Private ,"1,345","1,479","1,887","1,961","2,356","2,532","2,623","2,546","2,973","3,892","4,469","5,035","5,634","5,817","6,156","6,463","7,098","7,424","8,041","9,024","10,719","13,073","15,905","17,547","17,516","16,576","16,454","18,133","21,330","23,299","26,434","27,709","30,929","32,818","34,465","35,273","37,216","39,811","44,266","48,163","48,011","48,479","54,992","58,882","62,659","68,069","71,723","81,650","87,978","77,452","76,531","81,859","89,721","92,251"
     Federal Gov't,119,121,126,203,229,210,237,207,290,324,352,345,407,521,496,653,643,558,745,655,"1,023","1,315","1,227","1,926","2,391","2,562","3,033","3,419","3,309","3,629","3,747","4,395","4,291","4,935","5,037","5,098","5,863","5,289","5,906","6,231","6,271","6,354","5,881","6,591","5,672","5,581","6,010","6,691","7,749","8,665","9,696","10,915","10,179","9,712"
     State and Local Gov't,408,377,412,418,457,502,537,742,844,965,"1,009","1,385","1,367","1,403","1,814","1,937","2,204","2,123","2,188","2,525","2,932","2,995","3,252","3,245","3,482","3,783","4,017","4,415","4,693","5,310","5,827","6,124","6,586","6,955","6,666","6,821","6,853","7,491","7,870","7,924","8,244","8,589","9,343","9,850","10,710","11,880","12,353","14,316","15,497","15,031","14,743","15,249","15,804","15,898"
     Structures,"1,479","1,544","1,918","1,923","2,341","2,552","2,559","2,522","2,986","3,945","4,524","5,192","5,686","5,649","5,978","6,515","7,071","6,867","6,970","7,431","8,585","9,995","11,567","12,484","12,199","11,226","11,105","12,508","14,438","14,978","17,047","16,802","18,342","19,929","20,837","20,922","21,635","23,153","23,746","25,405","25,374","26,118","29,258","30,947","33,063","36,136","40,735","46,542","51,675","46,880","46,104","47,348","52,231","52,076"
         Private ,"1,066","1,163","1,509","1,505","1,886","2,035","2,079","1,945","2,306","3,177","3,731","4,242","4,730","4,716","4,805","4,831","5,126","4,995","5,092","5,386","6,213","7,580","9,147","10,271","9,914","8,849","8,570","9,668","11,614","12,138","13,800","13,417","14,586","15,862","17,052","16,892","17,471","18,582","19,541","21,581","21,560","22,081","24,271","26,059","27,971","30,465","35,277","39,802","44,584","39,014","38,130","38,573","43,079","43,318"
         Federal Gov't,72,71,71,85,92,120,103,43,58,67,93,129,116,97,116,218,266,334,382,370,439,570,528,505,595,640,698,829,799,733,832,728,743,925,853,989,"1,156","1,346","1,018",852,774,723,873,711,659,681,746,"1,014",944,"1,763","2,127","2,589","2,620","2,462"
         State and Local Gov't,341,310,338,333,363,397,377,534,622,701,700,821,840,836,"1,057","1,466","1,679","1,538","1,496","1,675","1,933","1,845","1,892","1,708","1,690","1,737","1,837","2,011","2,025","2,107","2,415","2,657","3,013","3,142","2,932","3,041","3,008","3,225","3,187","2,972","3,040","3,314","4,114","4,177","4,433","4,990","4,712","5,726","6,147","6,103","5,847","6,186","6,532","6,296"
     Equipment,393,434,507,659,701,691,838,972,"1,121","1,236","1,306","1,573","1,722","2,093","2,488","2,538","2,874","3,238","4,004","4,773","6,089","7,387","8,817","10,234","11,189","11,695","12,400","13,459","14,893","17,261","18,961","21,426","23,465","24,780","25,331","26,270","28,297","29,438","34,296","36,913","37,152","37,305","40,958","44,376","45,978","49,394","49,351","56,115","59,549","54,267","54,866","60,675","63,473","65,785"
          Private ,279,317,378,456,470,496,544,600,667,715,738,793,904,"1,102","1,351","1,632","1,972","2,429","2,949","3,638","4,506","5,492","6,758","7,276","7,601","7,727","7,885","8,465","9,715","11,162","12,634","14,292","16,344","16,957","17,413","18,381","19,745","21,229","24,725","26,582","26,451","26,399","30,721","32,823","34,688","37,604","36,446","41,848","43,394","38,437","38,401","43,286","46,642","48,933"
          Federal Gov't,47,50,55,118,137,90,134,164,232,257,259,216,291,424,380,435,377,224,363,285,584,745,699,"1,421","1,796","1,922","2,335","2,590","2,510","2,896","2,915","3,667","3,548","4,010","4,184","4,109","4,707","3,943","4,888","5,379","5,497","5,631","5,008","5,880","5,013","4,900","5,264","5,677","6,805","6,902","7,569","8,326","7,559","7,250"
          State and Local Gov't,67,67,74,85,94,105,160,208,222,264,309,564,527,567,757,471,525,585,692,850,999,"1,150","1,360","1,537","1,792","2,046","2,180","2,404","2,668","3,203","3,412","3,467","3,573","3,813","3,734","3,780","3,845","4,266","4,683","4,952","5,204","5,275","5,229","5,673","6,277","6,890","7,641","8,590","9,350","8,928","8,896","9,063","9,272","9,602"
"* Other Federal Programs include OEO, Federal General and Medical, Federal General and Medical NEC, and High Risk Pools under ACA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Other State and Local Programs include State and Local Subsidies and TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
